,dataset_name,neighbors,train_perc,epochs,lr,wd,trial_number,acc_hols_labels_features,rec_hols_labels_features,prec_hols_labels_features,p,α
0,dblp,15,0.04,100.0,0.01,0.0005,1,86.38134344072436,85.47878104878176,85.90468998771178,10.0,0.1
1,dblp,15,0.04,100.0,0.01,0.0005,2,85.89176668772373,84.59243243381283,85.73154722824114,10.0,0.1
2,dblp,15,0.04,100.0,0.01,0.0005,3,86.11286586649821,85.12820586828445,85.85216920094922,10.0,0.1
3,dblp,15,0.04,100.0,0.01,0.0005,4,86.18393345967573,84.908688329064,85.84963112718495,10.0,0.1
4,dblp,15,0.04,100.0,0.01,0.0005,5,86.09970520109496,85.31508465337217,85.66107377401649,10.0,0.1
